TriggerName,FiringCount
HLT_DoubleMediumDeepTauPFTauHPS35_L2NN_eta2p1_v4,2
HLT_Ele50_IsoVVVL_PFHT450_v20,2
HLT_PFHT510_v21,2
HLT_VBF_DiPFJet125_45_Mjj1000_Detajj3p5_TriplePFJet_v1,2
HLT_DoubleMu3_DoubleEle7p5_CaloIdL_TrackIdL_Upsilon_v8,1
HLT_TripleJet110_35_35_Mjj650_PFMET130_v13,1
HLT_Mu12_DoublePFJets40_PFBTagDeepJet_p71_v5,1
HLT_Mu8_DiEle12_CaloIdL_TrackIdL_v22,1
HLT_Dimuon0_Upsilon_L1_4p5er2p0_v13,1
HLT_VBF_DiPFJet70_40_Mjj600_Detajj2p5_DiPFJet60_JetMatchingSixJet_v2,1
HLT_VBF_DiPFJet75_40_Mjj500_Detajj2p5_PFMET85_TriplePFJet_v2,1
HLT_AK8PFJet140_v19,1
HLT_Dimuon0_LowMass_v12,1
HLT_IsoMu24_eta2p1_LooseDeepTauPFTauHPS30_eta2p1_CrossL1_v5,1
HLT_PFHT430_v21,1
Dataset_NoBPTX,1
HLT_CaloMET350_NotCleaned_v8,1
DST_Run3_EG16_EG12_PFScoutingPixelTracking_v20,1
HLT_Photon35_TwoProngs35_v5,1
HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT350_v24,1
HLT_PFMET300_NotCleaned_v13,1
HLT_DiPFJetAve100_HFJEC_v21,1
HLT_DiPFJetAve140_v17,1
